subplots_adjust	0.15
fontsize	10.0
title	Tabulated values of the Shockley-Queisser limit for single junction solar cells, Table S1
xlabel	Energy [eV]
ylabel	Quantity
xlim	['', '']
ylim	['', '']
meastype	Graph
[ev]	[nm]	[mA/cm2]	[mA/cm2]	[mA/cm2]	[V]	[V]	[%]	[%]
authors	Sven Ruehle
caption	Detailed balance limit for a single junction solar cell at a cell temperature Tc of 25 °C illuminated by the AM 1.5G spectral irradiance (ASTM G173-03) as a function of the energy band gap Eg and band gap wavelength lambda_g considering radiative emission from the front and rear side of the solar cell as shown in Fig. 2a.
comment	SI, table S1 (no reflector: unfavorable case)
doi	10.1016/j.solener.2016.02.015
label	$\\lambda$g [nm]	Jmax [mA/cm2]	Jsc [mA/cm2]	Jmpp [mA/cm2]	Voc [V]	Vmpp [V]	FF [%]	$\\eta$ [%]
linestyle	none
publication	Solar Energy 130 (2016) 139-147
url	http://dx.doi.org/10.1016/j.solener.2016.02.015
2.96	418.9	2.09	2.09	2.07	2.573	2.455	94.4	5.07
2.97	417.5	2.03	2.03	2.01	2.582	2.464	94.5	4.95
2.98	416.1	1.97	1.97	1.95	2.591	2.473	94.5	4.82
2.99	414.7	1.91	1.91	1.89	2.6	2.482	94.5	4.7
3.0	413.3	1.86	1.86	1.84	2.609	2.491	94.5	4.58
3.01	411.9	1.8	1.8	1.78	2.618	2.5	94.5	4.46
3.02	410.5	1.75	1.75	1.73	2.627	2.509	94.5	4.35
3.03	409.2	1.7	1.7	1.68	2.636	2.518	94.6	4.24
3.04	407.8	1.65	1.65	1.63	2.645	2.527	94.6	4.12
3.05	406.5	1.6	1.6	1.58	2.654	2.536	94.6	4.01
3.06	405.2	1.55	1.55	1.53	2.664	2.545	94.6	3.9
3.07	403.9	1.5	1.5	1.48	2.673	2.554	94.6	3.79
3.08	402.5	1.45	1.45	1.43	2.682	2.563	94.6	3.68
3.09	401.2	1.4	1.4	1.39	2.69	2.572	94.6	3.56
3.1	399.9	1.35	1.35	1.34	2.699	2.581	94.7	3.45
3.11	398.7	1.31	1.31	1.29	2.708	2.59	94.7	3.35
3.12	397.4	1.27	1.27	1.26	2.718	2.599	94.7	3.27
3.13	396.1	1.25	1.25	1.24	2.727	2.608	94.7	3.23
3.14	394.9	1.22	1.22	1.21	2.736	2.617	94.7	3.15
3.15	393.6	1.19	1.19	1.18	2.745	2.626	94.7	3.11
3.16	392.4	1.17	1.17	1.16	2.755	2.636	94.7	3.06
3.17	391.1	1.14	1.14	1.13	2.764	2.645	94.8	2.99
3.18	389.9	1.11	1.11	1.1	2.773	2.654	94.8	2.92
3.19	388.7	1.08	1.08	1.07	2.782	2.663	94.8	2.85
3.2	387.5	1.06	1.06	1.05	2.792	2.672	94.8	2.8
3.21	386.2	1.03	1.03	1.02	2.801	2.681	94.8	2.75
3.22	385.0	1.01	1.01	1.0	2.81	2.69	94.8	2.69
3.23	383.9	0.99	0.99	0.98	2.819	2.699	94.8	2.64
3.24	382.7	0.97	0.97	0.96	2.829	2.709	94.9	2.61
3.25	381.5	0.95	0.95	0.94	2.838	2.718	94.9	2.56
3.26	380.3	0.92	0.92	0.92	2.847	2.727	94.9	2.49
3.27	379.2	0.9	0.9	0.89	2.856	2.736	94.9	2.44
3.28	378.0	0.87	0.87	0.86	2.865	2.745	94.9	2.37
3.29	376.9	0.84	0.84	0.84	2.874	2.754	94.9	2.3
3.3	375.7	0.82	0.82	0.81	2.883	2.763	94.9	2.24
3.31	374.6	0.8	0.8	0.79	2.893	2.772	95.0	2.19
3.32	373.4	0.78	0.78	0.77	2.902	2.781	95.0	2.15
3.33	372.3	0.76	0.76	0.75	2.911	2.79	95.0	2.1
3.34	371.2	0.74	0.74	0.73	2.92	2.799	95.0	2.04
3.35	370.1	0.71	0.71	0.71	2.929	2.808	95.0	1.98
3.36	369.0	0.69	0.69	0.68	2.938	2.817	95.0	1.92
3.37	367.9	0.67	0.67	0.66	2.947	2.826	95.0	1.87
3.38	366.8	0.64	0.64	0.64	2.956	2.835	95.0	1.81
3.39	365.7	0.62	0.62	0.62	2.965	2.844	95.1	1.75
3.4	364.7	0.6	0.6	0.59	2.974	2.853	95.1	1.7
3.41	363.6	0.58	0.58	0.58	2.983	2.862	95.1	1.65
3.42	362.5	0.56	0.56	0.56	2.992	2.871	95.1	1.6
3.43	361.5	0.55	0.55	0.54	3.001	2.88	95.1	1.56
