comment0	Data must be within [0,1] and NOT in %.
comment1	Feel free to add the reflectance and transmittance spectra of your substrates. Set labels as '<substrate> R' and '<substrate> T'
ylabel	Transmittance, Reflectance [%]
xlabel	Wavelength [nm]
_spectrumguidark	True	True
_spectrumguioffset	True	True
_spectrumsubclass	CurveSpectrumReflectance	CurveSpectrumTransmittance
curve	Curve Spectrum	Curve Spectrum
label	SLG R	SLG T
nm	Reflectance [ ]	Transmittance [ ]
1032.0	0.079412805	0.919670587
1034.0	0.079512419	0.91979802
1036.0	0.080021873	0.921125495
1038.0	0.080006008	0.919329596
1040.0	0.079597092	0.918643295
1042.0	0.079622731	0.918467107
1044.0	0.079477628	0.918883353
1046.0	0.079906831	0.918663387
1048.0	0.07942683	0.917968551
1050.0	0.079935706	0.919039973
1052.0	0.079961851	0.919248579
1054.0	0.080233991	0.919546117
1056.0	0.079867772	0.919199262
1058.0	0.080092504	0.918591207
1060.0	0.080112888	0.918941861
1062.0	0.08053517	0.918888298
1064.0	0.080271846	0.919654811
1066.0	0.080386839	0.919184817
1068.0	0.079913948	0.918611127
1070.0	0.07958118	0.918848445
1072.0	0.079001544	0.918435883
1074.0	0.078989631	0.918368167
1076.0	0.078749042	0.918707422
1078.0	0.078897422	0.919651958
1080.0	0.078925771	0.919993735
1082.0	0.079531911	0.918776995
1084.0	0.079949603	0.918617038
1086.0	0.079635114	0.91919544
1088.0	0.079452578	0.920450293
1090.0	0.079396791	0.920466216
1092.0	0.079887714	0.9203963
1094.0	0.079493476	0.920330243
1096.0	0.079154906	0.920042066
1098.0	0.079188645	0.919937865
1100.0	0.079416188	0.919773709
1102.0	0.079225694	0.920048219
1104.0	0.07895924	0.919811685
1106.0	0.079008097	0.919717225
1108.0	0.078903017	0.919703366
1110.0	0.078543353	0.920318177
1112.0	0.078240969	0.920132843
1114.0	0.078461924	0.920240594
1116.0	0.079227987	0.919921531
1118.0	0.079541466	0.919864118
1120.0	0.079536321	0.920128646
1122.0	0.079418553	0.919871511
1124.0	0.079098958	0.919813443
1126.0	0.079098441	0.919532329
1128.0	0.078961678	0.919683865
1130.0	0.079014302	0.919820502
1132.0	0.079295193	0.919906107
1134.0	0.079502552	0.920037075
1136.0	0.079380171	0.919662156
1138.0	0.078929728	0.919928634
1140.0	0.078738579	0.920938863
1142.0	0.078843515	0.921125572
1144.0	0.079015325	0.920739754
1146.0	0.078511283	0.919566751
1148.0	0.078782229	0.920178521
1150.0	0.078702133	0.92035482
1152.0	0.079255381	0.920842907
1154.0	0.079031638	0.92024454
1156.0	0.079114064	0.919789623
1158.0	0.078881422	0.919556031
1160.0	0.078931193	0.919996958
1162.0	0.078563875	0.920580656
1164.0	0.07850663	0.920217199
1166.0	0.078572951	0.920068475
1168.0	0.078652804	0.920587061
1170.0	0.07836313	0.920940547
1172.0	0.078215652	0.920690056
1174.0	0.078301655	0.920030876
1176.0	0.078214832	0.920044413
1178.0	0.078380947	0.920888851
1180.0	0.078275619	0.92036818
1182.0	0.078735077	0.92049769
1184.0	0.078502231	0.919719118
1186.0	0.078902461	0.920036612
1188.0	0.078568084	0.920083362
1190.0	0.078518628	0.920807197
1192.0	0.078165668	0.921145114
1194.0	0.078102769	0.921687447
1196.0	0.078073631	0.920852607
1198.0	0.078375964	0.920999841
1200.0	0.078650145	0.920412334
1202.0	0.078749863	0.921476687
1204.0	0.07874164	0.922085347
1206.0	0.078921071	0.921978456
1208.0	0.079007366	0.921313361
1210.0	0.07902267	0.920764001
1212.0	0.078922803	0.920693098
1214.0	0.078992682	0.920591998
1216.0	0.078534223	0.920268925
1218.0	0.078541913	0.920788922
1220.0	0.078165266	0.920816615
1222.0	0.078699145	0.920463369
1224.0	0.078117681	0.919983743
1226.0	0.078040234	0.920317463
1228.0	0.077941671	0.92105558
1230.0	0.078254876	0.920417849
1232.0	0.078411947	0.920549736
1234.0	0.078246422	0.92083533
1236.0	0.07873553	0.92210251
1238.0	0.078959942	0.921336291
1240.0	0.078942527	0.921163027
1242.0	0.078394642	0.921103015
1244.0	0.078411916	0.922000158
1246.0	0.07870781	0.921347654
1248.0	0.078940787	0.920511194
1250.0	0.078737607	0.92018023
1252.0	0.078569831	0.920862833
1254.0	0.078248293	0.921194445
1256.0	0.078330973	0.921634231
1258.0	0.078516159	0.921267594
1260.0	0.078495209	0.921637252
1262.0	0.078020421	0.921422273
1264.0	0.077816182	0.921214009
1266.0	0.078296704	0.92087617
1268.0	0.078888444	0.920609232
1270.0	0.078619401	0.921158606
1272.0	0.07823563	0.921436773
1274.0	0.078314823	0.922113582
1276.0	0.078183725	0.922114221
